Words,TF-Score
mục_lục,0.0002842565903474434
lời,0.00028635442496255365
mở_đầu,0.0005947361133837653
nội_dung,0.0017894529266890716
chương,0.0005454369999286737
i,0.0006241057979953093
cơ_sở,0.0021051770362631693
lí_luận,0.0001867072807448152
khái_niệm,0.0006293503845330849
giai_cấp,0.007835412287436908
công_nhân,0.00544492974351874
quan_điểm,0.0015817672997931536
của,0.03237693053230455
mác,0.0003839037345651818
ăngghen,0.0002265661384319106
định_nghĩa,9.85982269101833e-05
sứ_mệnh,0.001347858740208357
lịch_sử,0.003206540209196068
việt_nam,0.008453224581586887
đặc_điểm,0.0005695620980024419
về,0.008914748196911149
kinh_tế,0.007106414758686085
chính_trị,0.0033785626476351112
xã_hội,0.009893388044860096
văn_hóa,0.0024618089208319175
tư_tưởng,0.0014485548017336505
ii,0.000510822728779354
liên_hệ,0.0012177929940715194
thực_tiễn,0.0015943543074838152
và,0.03137626342089695
bản_thân,0.001400304605586114
trong,0.01650051816514993
thời_đại,0.0004363495999429389
ngày_nay,0.0005066270595491334
thực_hiện,0.0037519772091247415
kết_luận,0.0005758556018477727
tài_liệu,0.0008443784325818889
tham_khảo,0.0005758556018477727
có,0.011058735173553857
vô_cùng,0.0002926479288078845
trọng_đại,2.622293268887854e-05
giải_phóng,0.001066748901783579
thúc_đẩy,0.0005443880826211185
lực_lượng_sản_xuất,0.00047830629224514454
phát_triển,0.00818889742008299
xóa,0.0004457898557109352
bỏ,0.0005548772556966698
chế_độ,0.00133422281521014
cũ,0.00033145786918742473
xây_dựng,0.00581414863577815
mới,0.0026485162015767324
tiến_bộ,0.0008171065825854553
phủ_định,2.9369684611543965e-05
kế_thừa,0.00021922371727902459
các,0.0165854804670619
giá_trị,0.001600647811329146
hệ,0.0001971964538203666
tiên_tiến,0.0004615236153242623
hơn,0.0022709059708568816
đứng,0.0003912461557180678
trước,0.001348907657515912
bối_cảnh,0.0004489366076336006
ngày_càng,0.001252407265220839
thế_giới,0.0020548290055005226
toàn_cầu,0.0005234097364700157
hóa,0.0015975010594064807
kinh_tế_tri_thức,0.0001667778519012675
ở,0.006207492626111328
nước,0.0059903667434474134
ta,0.004349860074431172
đang,0.001659387180552234
khác,0.0020086766439680963
là,0.01735328793619226
một,0.0066469889779769325
những,0.010325541975572814
lực_lượng,0.0013090487998288166
quan_trọng,0.0019373502670543465
nhất,0.0021838458343298047
tham_gia,0.0010719934883213547
vào,0.0032338120591925016
chương_trình,0.00018880511535992548
dự_án,6.29350384533085e-05
quốc_gia,0.00166672960170512
từ,0.003970152009096211
tình_hình,0.0006807473326032869
trên,0.004196718147528121
em,0.0008213022518156758
nhận,0.0003251643653420939
thấy,0.0007751498902832496
việc,0.0037121183514376463
nghiên_cứu,0.002651662953499398
nói_chung,0.0003524362153385276
nói_riêng,0.0002622293268887854
hết_sức,0.00023285964227724143
việc_làm,0.000585295857615769
sáng_tỏ,0.00010489173075551416
nhận_thức,0.0011768852190768688
đúng_đắn,0.000778296642205915
vấn_đề,0.0035002370553115073
ý_nghĩa,0.0012503094306057288
lý_luận,0.002155525067025816
